ID,NAMES,population,agriculteurs,artisans,cadres,intermediaires,employe,ouvrier,total
95604,Survilliers,3943,0,51,241,681,700,416,2089
95607,Taverny,26195,9,533,2568,4140,3942,1996,13188
95610,Themericourt,268,0,20,27,43,39,8,137
95611,Theuville,27,0,0,17,0,4,4,25
95612,Le Thillay,4124,4,84,196,503,691,563,2041
95625,Us,1327,12,16,125,230,169,137,689
95627,Vallangoujard,634,0,40,80,76,88,52,336
95628,Valmondois,1207,0,48,120,225,120,112,625
95633,Vaudherland,79,0,0,0,12,12,16,40
95637,Vaureal,16223,0,247,1855,2743,2720,1319,8884
95641,Vemars,2201,4,56,216,413,348,212,1249
95651,Vetheuil,901,0,33,94,159,85,53,424
95652,Viarmes,5084,4,156,472,768,644,412,2456
95656,Vienne-en-Arthies,417,0,24,45,57,45,33,204
95658,Vigny,1072,16,36,160,164,84,64,524
95660,Villaines-sous-Bois,682,0,39,78,124,78,74,393
95675,Villeron,844,0,37,74,182,148,79,520
95676,Villers-en-Arthies,470,0,8,45,97,45,37,232
95678,Villiers-Adam,828,0,20,68,124,92,44,348
95680,Villiers-le-Bel,27428,3,457,773,2578,4727,3543,12081
95682,Villiers-le-Sec,182,4,0,8,17,37,21,87
95690,Wy-dit-Joli-Village,322,8,0,44,64,28,24,168
